NombreProducto,FechaMovimiento,MontoBase,year
POLLO SIN MENUDENCIA H-C,2018-12-13,25.988,2018
POLLO SIN MENUDENCIA H-C,2018-12-13,27.857,2018
POLLO SIN MENUDENCIA H-C,2018-12-13,25.632,2018
POLLO SIN MENUDENCIA H-C,2018-12-13,27.501,2018
POLLO SIN MENUDENCIA H-C,2018-12-13,27.412000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-12-13,26.789,2018
POLLO SIN MENUDENCIA H-C,2018-12-13,54.379000000000005,2018
POLLO SIN MENUDENCIA H-C,2018-12-14,232.735,2018
POLLO SIN MENUDENCIA H-C,2018-12-14,22.161,2018
POLLO SIN MENUDENCIA H-C,2018-12-14,83.393,2018
POLLO SIN MENUDENCIA H-C,2018-12-14,27.501,2018
POLLO SIN MENUDENCIA H-C,2018-12-14,25.81,2018
POLLO SIN MENUDENCIA H-C,2018-12-14,21.716,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,24.119000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,281.952,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,140.976,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,27.59,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,21.36,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,28.035,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,27.056,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,27.056,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,21.894,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,20.737,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,84.016,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,19.046,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,20.292,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,19.936,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,23.051,2018
POLLO SIN MENUDENCIA H-C,2018-12-15,40.584,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,21.983,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,22.784,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,25.276,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,22.784,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,43.254000000000005,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,30.082,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,21.36,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,21.627,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,21.271,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,19.224,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,146.583,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,43.521,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,43.254000000000005,2018
POLLO SIN MENUDENCIA H-C,2018-12-16,3.56,2018
POLLO SIN MENUDENCIA H-C,2018-12-17,20.737,2018
POLLO SIN MENUDENCIA H-C,2018-12-17,21.36,2018
POLLO SIN MENUDENCIA H-C,2018-12-17,23.763,2018
POLLO SIN MENUDENCIA H-C,2018-12-17,43.343,2018
POLLO SIN MENUDENCIA H-C,2018-12-17,22.517,2018
